News,Relevance
"Hours after Congress leader Rahul Gandhi blamed the BJP-led government for the death of democracy in the country, PDP chief Mehbooba Mufti joined the bandwagon and said that the BJP will finish off the Constitution and make India a religious country in times to come.  ""In the times to come, BJP will finish off even the Constitution and the foundations of secularism on which this country stands. They'll make this a religious country. They'll change the Tiranga, which you are hoisting proudly, and bring in a saffron flag,"" she said.",no
"Media stories related to children with learning difficulties, BSNL. This decision was made in a special meeting convened by Dean Kuriakos MP considering the complaints received from various levels regarding service availability. The MP asked the officials concerned to ensure mobile coverage and high speed data for online learning. Information Distribution and Broadcasting Minister BSNL for a special central fund of Rs. 4 crore for the backward sector to install diesel engines and batteries to solve the shutdown of mobile towers due to power failure. Tribal Fund also to ask the Chairman.",yes
"Asserting that Salman Rushdie has consistently stood up for the universal rights of freedom of expression, freedom of religion and freedom of the press, US Secretary of State Tony Blinken on Sunday said Iranian state institutions have incited violence against the Indian-origin author for generations and state-affiliated media recently gloated about an attempt on his life.",no
"Hundreds of passengers had a harrowing time at the Delhi airport early Monday as the immigration system server faced technical issues for around one and a half hours, affecting six international flights and resulting in long queues at the counters.",yes
"Railway passengers from Bengaluru Friday found copies of an unauthorised publication with controversial articles on the Shatabdi Express to Chennai, prompting the Indian Railway Catering and Tourism Corporation (IRCTC) to issue a warning to its onboard services licensee.. ",yes
"Business establishments, homestays and hotels in tourist centers were closed as the arrival of tourists stopped.  The traders who used to make the roadsides their centers of life are in dire straits.  People in this field complain that the central and state governments are not doing anything to recover the damaged tourism sector",yes
"The Ministry of Road Transport, and Highways (MoRTH) has been monitoring the continuous rise in road accidents in India. A total of 52,448 road accidents occurred under the 'hit and run' category in the country in 2020. MoRTH shared a full analysis on its official website stating how the maximum number of such accidents took place on National Highways. As a step toward spreading road safety awareness, MoRTH took to Twitter where it shared the road safety advice for safe and smooth driving.",yes
"Ricky Ponting, an Australian legend and two-time world cup winning captain, feels that Mohammad Shami’s strength lies in the red ball game and that there are better pacers in India’s T-20 setup, considering his absence from the Asia Cup squad.",no
"The government expressed concern over fatalities due to road accidents and is planning to implement a scheme to make roads safe by reducing accident-prone and black-spot on national and state Highways. Union Road Transport Minister Nitin Gadkari announced in the Rajya Sabha during the question hour that soon, the government will implement a Rs 7,500 crore scheme with the help of the World Bank to address the issue.",yes
"The Women's Commission has announced that it will look into the problems of women employees in banks.  Difficulties faced by women employees can be sent by e-mail.  Complaints received within six months will be examined and recommendations will be made to the government. In the wake of the Covid epidemic, the action of the bank officials, who subjected women employees to compulsory duty, despite fixing the banking hours till 2 pm, is anti-labour and anti-women.  Chairperson MC Josephine said that the Women's Commission will come to the bank and take evidence.",yes
"A Bench of Justices M.R. Shah and B.V. Nagarathna, while hearing a plea of a domestic violence victim after she was widowed, dealt with the unique situation of Indian women who live at places different from matrimonial homes, such as the workplaces of their husbands.  ""There could be several situations and circumstances and every woman in a domestic relationship can enforce her right to reside in a shared household irrespective of whether she has any right, title or beneficial interest in the same and the said right could be enforced by any woman under the said provision as an independent right...,"" the Bench said.",no
"Two types of development activities are mainly taking place in the tourism sector.  Under the auspices of the government, general infrastructure development projects are being carried out in tourism centers.  Various entrepreneurs have developed many tourism products like houseboats, green-rural residences, Ayurvedic resorts, homestays, health tourism, farm tourism, adventure tourism and backwater tourism.  In addition to government investment in these areas, the government is making interventions that can attract more private entrepreneurs, provide operational facilities and improve the quality of services provided.",yes
"MNR vs WEF Dream11 Prediction, Fantasy Cricket Tips, Dream11 Team, Playing XI, Pitch Report, Injury Update of The Hundred match between Manchester Originals and Welsh Fire.",no
"Persuasion Film Review: Is Heterogeneous Casting Race-Inclusionary Or Escapist?. Colour-baiting has compromised historical accuracy, and racial inclusion has been reduced to a ""tick-box exercise"" in Persuassion.",no
"The Leaders affirmed a clear vision that will guide the U.S.-India relationship   forward:  building a strategic partnership  and working together with  regional groupings, including ASEAN and Quad members, to promote shared interests in the Indo-Pacific region and beyond; developing a trade and investment partnership that increases prosperity for working families in both countries; finishing the fight against the COVID-19 pandemic and other health challenges; galvanizing global efforts to scale up climate action;  strengthening democratic values and institutions in support of our respective peoples; and enhancing people-to-people ties that have made both countries stronger.",no
"Lemon water is something we drink for tiredness and thirst.  Especially in summer.  Apart from this, it is very good for removing toxins from the body and reducing fat.  There are many ways to drink lemon water.  It is drunk with the addition of honey, salt, sugar, ginger and nutmeg.  Many people add salt to lemonade because they think salt is better than sugar.  But this does more harm than good.",no
"Air carrier Go First's Mumbai-Leh and Srinagar-Delhi flights today developed engine problems and both planes were grounded, news agency PTI reported quoting officials.",yes
Star India batter Cheteshwar Pujara smashed his highest score in 50-over cricket as he scored 174 runs in just 131 balls with the help of 20 fours and five sixes. Pujara is captain of the Sussex side in the Royal Lond ODI cup. He achieved the feat against Surrey on Sunday. This is Pujara's highest List A score.  ,no
"Chelsea - Tottenham in the English Premier League football after the London derby between the coaches. Chelsea coach Thomas Tuhal, Tottenham coach and ex-Chelsea coach Maya Antonio Conte were shown red cards for misconduct. The English Football Association (FA) has launched an investigation into the incident. ",no
"Beggars and vagrants across 75 civic bodies will soon be given health insurance and rehabilitation benefits, with an aim to get them off the streets. The Union ministry of social justice and empowerment will launch the scheme from Delhi this Sunday. Other benefits planned include a survey of beggars in these localities and the ministry will also start a system to identify them. Additionally, to promote livelihood options for them, the ministry is working on a series of skill development courses.",yes
"India should use excess land held by government agencies to meet its goal of providing housing for all by 2022, experts and activists said, as the country struggles with rising conflicts over land for industry, infrastructure and its citizens. The government recently launched a long-delayed process to sell 2,000 acres (800 hectares) of unused land belonging to unprofitable state-owned enterprises -- known in India as public sector undertakings (PSUs). A portion of this land held by the government must be given to states to build housing for poor and low-income groups to meet India’s goal of Housing for All by 2022, experts and activists said.",yes
" The Gujarat government has banned 10 people for life from filing Right to Information queries in the past 18 months for “being cantankerous”, TOI reported. Other reasons for banning these people from filing RTI queries on certain matters include “filing multiple queries” and “using RTI act to harass government officials”.",no
"North-East India’s Border Rows: A Solution on the Cards?. The governments must realize that all the states of the North-East must stay united for the overall development of the region, because any disturbance in this part of the country will help countries inimical to India to foment trouble.",no
"An expose by the Washington Post has revealed that groups of Google’s employees sent out mass emails through the company intranet, calling Thenmozhi, who is the Executive Director of Equality Labs, as “Hindu phobic” and “anti-Hindu.” The subsequent cancellation of the event is being seen as a direct fallout of a campaign by pro-Hindu groups inside Google. The issue also snowballed after Tanuja Gupta, the senior manager at Google who had invited Thenmozhi to deliver the talk, quit Google in protest after being pulled up for inviting her.",no
"Wayanad Govt., which is always in the news for student conflicts and strikes.  Engineering college got attention yesterday through historical struggle.  At a time when society was taking a stand against gender discrimination, a group of girls went on a midnight strike against the gender discrimination of the college authorities.  The students protested against the stand of the college authorities that the time for boys to enter the hostel is till 9.30 pm and for girls till 7.30 pm.",yes
"Airport Chaos Is a High-Class Problem for Airlines. Delta Air Lines’ results confirm that postpandemic costs will remain high as cancellations rise and labor demands mount, but excess demand for flying is still good news. Flight cancellations, airport passenger caps and a broad-based surge in costs aren’t doing anything to lure investors back to airlines. Compared with a recession-driven demand slump, though, these are nice problems to have.",yes
"Kottathara Govt.Tribal Hospital has 8 ambulances but only one driver post.  ITDP, Social Health Center and Attapadi Block Panchayat also do not have ambulance facility. ITDP has ambulance to transport patients but no ambulance to transport dead bodies.",yes
"A project to unlock and sell an extra 5,500 MHz of 5G spectrum, valued at over Rs 35,000 crore, has been launched by the Department of Telecommunications (DoT). This occurs not long after the government received an auction revenue record of Rs 1.5 lakh crore.",no
"More than nine out of 10 mobile phone users in India complained of poor wireless connectivity, while two-thirds struggle with disrupted digital payments on older 3G and 4G networks, according to a local survey.",yes
"Chief minister Himanta Biswa Sarma said, “Tribal land policy is expected to be launched on October 2 this year and it will increase the land holding of a tribal person from existing eight bighas to 50 bighas.”He said that the government will talk to…",yes
"Alcohol to children: Father arrested. Manarkad father arrested for forcing children to drink. Arunkumar (36) was arrested at Parakka Param in Vadavathur Thewar. Shameer Tai, the police said that he used to get drunk regularly at home - he used to come and fight and when he went to the shop to drink, he forcibly took the children with him. Children were forced to drink while they were drinking at home. It was questioned.",no
"Land degradation in India hurts farmers and forest dwellers the most. More than half of the degraded land in the country is either rainfed farmland, responsible for the food security of the country, or forest land that offers the best defence.  close to 30 per cent of its geographical area already affected, land degradation is definitely among India’s most pressing environmental problems. To make matters worse, almost all Indian states have recorded an increase in degraded land in the past 15 years, with the most rapid increase being noted in the biodiversity-rich northeastern states. These details have been published in the Desertification and Land Degradation Atlas of India, made public in August by the Indian Space Research Organisation (ISRO). The numbers, collected for 2018-19, also highlight the stiff challenge India will need to face to achieve its target of becoming land degradation neutral by 2030, announced by the Prime Minister in September 2019 at the United Nations Convention to Combat Desertification. ",yes
"The past three years or so have witnessed rapidly increasing stress in the Indian banking sector, with non-performing assets (NPAs) steadily climbing from under 3% to over 11% of total assets. Loan-loss provisioning for these NPAs has seriously eroded the capital base of a number of banks, thereby limiting their ability to make further loans.1  There is now general consensus that the state of Indian banking is one of the biggest challenges facing the country in accelerating investments and growth.2  Expectedly, given the magnitude and gravity of the problem, much has been written and debated about ways of tackling current NPAs and of preventing recurrence of such a problem in the future.",yes
"In a recent episode of The ICC interview, Ponting said “I think there are better fast bowlers in Indian T20 cricket than Shami and they’ve only named three for the Asia Cup. So if there’s potentially four named in the squad he might be the fourth man in.”",no
"Manchester Originals will be taking on Welsh Fire for the first time in the sixteenth match of this season of the Hundred.  Manchester Originals is currently placed at the seventh position on the points table of this season of the Hundred whereas Welsh Fire is currently placed at the bottom of the points table.  Manchester Originals played three matches in this season of the Hundred where they were unable to win a single game while Welsh Fire also played three matches in this season where they too, lost all games.",no
"A 30-year-old Sikh woman allegedly died by suicide at her Richmond-based residence in New York on August 3, accusing her husband of domestic violence and also naming his parents as responsible for her plight.  Mandeep Kaur, 30, shared a video where she is heard saying that she cannot tolerate any more violence at the hands of her husband Ranjodhbeer Singh Sandhu and has decided to commit suicide. Both Mandeep and her husband are from Bijnor in Uttar Pradesh. The couple has two daughters, aged six and four. Sandhu is a truck driver.",no
"Measures like weeding out bogus driving licences, setting up modern drivers' training schools, the rectification of black spots, crash barriers, road safety audits, making BIS specified helmets mandatory and the imposition of hefty fines on violators by amending the Motor Vehicles Act have been taken but when it comes to implementation, authorities lack intent. The 'Good Samaritan' rules put in place by the authorities have not yet instilled confidence among the public, who still fear that they might land in trouble if they take an accident victim to the hospital.",yes
"Why are we Questioning SSR family n friends? What's the point?  If they want, they will let us know what's necessary for us to know  Everything can't be shared in Social Media as case is subjudice  Please Question leaders & agencies Genuinely about Delay.",no
"The recent incident of a 15-year-old boy trying to assault a woman in Malappuram might come across as a one-off case. But according to the police data, the number of juvenile delinquents is increasing in the state and is a cause for concern. Last week, two minors were held in Killipalam in the capital for drug peddling and attacking policemen using air guns. ",no
"At the same time, there is a noticeable trend in household savings moving towards financial assets, different from earlier years when physical assets were preferred by Wealth Creators. Investment allocations and strategies are also changing, with more promoters creating separate pools of capital for their legacies as opposed to ploughing back all their wealth into their operating businesses. ",no
"Sajeev Krishna, a native of Vandoor, Malappuram, was found murdered in Oxonia Flat, Idachira, Kakkanad.  The information about the murder came to light yesterday evening.  The body of Sajeev Krishna, who had been stabbed all over, was wrapped in a blanket and tied up.",no
'Maaran' Trailer Review: Dhanush As An Investigative Journalist Steals The Show With His High Octane Action Scenes 'Maaran' is produced by Sathya Jyothi Films and directed by Karthick Naren. Lead actors Dhanush and Malavika Mohan play journalists in this emotional action thriller.,no
"The deputy CM said the change was made possible due to the intervention of Karol Bagh MLA Vishesh Ravi who followed up the matter with the district administration for over a year, and even raised the matter in the Delhi assembly. “Due to his persistent intervention Geeta Devi’s child received an SC caste certificate based on her caste certificate. Not only Devi, but thousands of single SC/ST mothers like her will benefit from this,” Sisodia said.",no
"MTNL's loss has narrowed in the June 2022 quarter. From a 688.69 crore loss in the same quarter the previous year, the loss has narrowed to Rs 653 crore. However, the revenue from operations also fell by 17% to Rs 250.72 crore. During the same quarter in the previous year, the revenue from operations for MTNL was Rs 301.15 crore. ",yes
"With the judicial system unable to deliver timely justice because of a huge backlog of cases, Chief Justice-designate Uday Umesh Lalit suggested that a mechanism was required to mandatorily impose costs on litigants bringing frivolous cases to courts and putting additional weight on an already burdened judiciary, according to a TOI report .",no
"FIFA has suspended the All India Football Federation (AIFF) with immediate effect due to “undue influence from third parties”, world soccer’s governing body said on Monday.  The suspension also means that the Under-17 women’s World Cup, which was scheduled to take place in India from Oct. 11-30, cannot be held in the country as planned.  The Supreme Court of India had disbanded the AIFF in May and appointed a three-member committee to govern the sport, amend the AIFF’s constitution and conduct elections that have been pending for 18 months.",no
"Passport service at Pune regional passport office in Mundhwa was stalled for over five hours as applicants struggled to maintain calm amidst the breakdown of the main Passport Seva Kendra (PSK) data server, on Monday morning.",yes
"The average time for a road to start wear is five years, after which it requires repairs. The low quality material used for construction and sometimes suspected scams could be one of the reasons as the roads start to deteriorate before the average life span. Water logging and heavy traffic leads to overuse of the roads that adds to the problem.",yes
"The Indian Railways issued a set of Frequently Asked Questions (FAQs), to resolve issues raised by protesting job aspirants; candidates can lodge their concerns and suggestion at rrbcommittee@railnet.gov.in",yes
"Former New Zealand batter Ross Taylor made a shocking revelation in his autobiography, which released earlier this week. In the book, titled ""Black & White"", Taylor recalled when one of the owners of Rajasthan Royals during his stint with the Indian Premier League (IPL) franchise slapped him across the face after he had gotten out for a duck in a steep chase against Punjab Kings, who were then named Kings XI Punjab. He did write that the slaps were not hard, but said that he was not sure ""it was entirely play-acting"".",no
"AshwiniVaishnaw Goods trains carrying material from JNPT to delhi often get stuck for many days due to non availability of engines/staff, this impacts the industrial activities and delay in getting shipments. Pls instruct officials to expedite good trains to support industry",yes
"Tourism, along with the hospitality industry, has been among the sectors worst hit by the pandemic. Now, for the second year in a row, as travel becomes restricted and complete lockdowns become more common across states, people have started shelving their holiday plans for summer.",yes
Need update against booking PNR -2442854863 booked for coupe service n given cabin by Railway by mistake. A pregnant women is traveling with me n can't use upper berth hope immediate help on this issue.,yes
Discrimination on basis of skin colour unwarranted: Nandita Das Nandita Das says she was fortunate that her parents did not put any complex about her skin colour but she encountered such biases in the film industry. Das says discrimination on the basis of skin colour is the most absurd.,no
"Plastic roads: India’s radical plan to bury its garbage beneath the street. In India, roads made from shredded plastic are proving a popular solution to tackling waste and extreme weather. ",yes
"Road safety is a critical development priority for South Asia, impacting health, wellbeing and economic growth. Countries in the region must work together if they are to achieve the goal of halving road crash deaths by 2030. This blog is part of our Together for Road Safety campaign.  Raghuveer Thakur was 27 when he died in a road crash on the Mumbai-Nashik Highway. A car rear-ended the two-wheeler on which he was riding pillion and he succumbed to his injuries at the hospital. His family was not only emotionally devastated, but also pushed into economic distress. They had to wait for over 5 years before they received any compensation.",yes
"Minister Antony Raju said that the Chief Minister has approved the proposal to waive road tax for school vehicles for one year.  The tax is exempted from October 1, 2020 to September 30, 2021.  The Minister of Education and the Minister of Transport held a discussion the other day as part of ensuring the travel facilities of the students when the school opens on Kerala Birth Day.",yes
"Domestic workers working abroad number about 11.5 million, according to the International Labor Organization.  75 percent of them are women workers.  Increasing life expectancy, crises caused by Covid and more women's participation in other professions are increasing the demand for domestic workers.",yes
"The Government of India through its various ministries such as the Ministry of Health and Family Welfare (MoHFW), Ministry of AYUSH (Ayurveda, Yoga, Naturopathy, Unani, Siddha, Sowa-Rigpa and Homoeopathy), Department of Pharmaceuticals, Ministry of Chemicals and Fertilizers and others, has been running a number of healthcare schemes and programmes aimed at all segments of the population. These schemes and programmes, according to the government aim to make healthcare affordable and accessible to all, in line with Sustainable Development Goal (SDG) 3 – ‘Good Health and Well-Being’ for all. Along with this, these schemes and programmes are measures intended to decrease the out-of-pocket expenses of the people on health. According to the National Sample Survey Organisation (NSSO), 2016, in rural areas in India, about 67.8 per cent of households report income or savings as a major source of finance for meeting expenses related to hospitalisation. The figure is higher in urban India, with 74.9 per cent of the households majorly relying on income or savings for such expenses.",yes
"Pakistani-American Sania Khan was shot dead by her ex-husband. According to a BBC report, a woman had posted on the social media platform TikTok about her unpleasant divorce. Sania Khan was about to leave Chicago for Tennessee when the crime happened last month, according to the news outlet. Rahel Ahmad, the 36-year-old husband, later shot himself with a gun.",no
"Undoubtedly I am proud of the country for sustaining its independence for 75 years, but I can really not stop myself from thinking about whether we are really independent. Do women have the freedom to walk the streets of this country sans the fear of being sexually assaulted? Every time I believe that things finally might be changing for the better, the state and people lower the bar. So on the day meant to celebrate our country’s independent status and achievements, some people in Godhra were distributing sweets to mark the release of 11 men convicted in the Bilkis Bano case.",no
"40 lakh Rs.Bsnl cut internet cable  Special team of Atoor police is on the lookout for other accused in the Tia case.  Emphasized in  In connection with the case, GG Phi at Grace Villa, Nedumon Tondal, Ejamkulam.  Lip (50) and Anup (18) of Puthanveet in Parakot Avaruveli.  Ray was arrested.  Another partner Aji Philip and three others are missing.  Cables cut by Sangam on KIP canal at Kollur Pati  Police found from. ",yes
"2021 marks the 16th anniversary of the Right to Information Act (RTI) and in this 16th year something interesting happened: The Central Information Commission (CIC), which was constituted under the RTI Act and whose jurisdiction extends over all central public authorities, agreed with an applicant that the Nehru Memorial Museum and Library (NMML) should make public certain documents related to events around Jammu and Kashmir’s accession. ",no
"Union Minister V. Muraleedharan said that interventions have been intensified in the labor crises of Indian citizens in foreign countries.  There are direct negotiations with the employers on issues such as non-payment of salary, withholding and unfair deduction of salary.",yes
"""Even today in Paris, people wonder how his story could have happened, what movement of the world swept him away."" Said in voiceover within the first five minutes of ""Lost Illusions,"" these words point the way towards the end. Those who read Honoré de Balzac's novel, originally serialized in the late 1830s and early 1840s, already know the roadmap from hopeful innocence to lost illusions. To those who haven't read it, the voiceover clues them in instantly. This is a cautionary tale about selling out your gifts to the highest bidder, about how naïveté doesn't stand a chance against the kind of corruption on display in Paris in the 1820s. Lucien's life is described early on as ""a tragedy,"" and so even in all the scenes of triumph that follow, impending disaster is always present.",no
"The Madurai Bench of the Madras High Court has directed the Regional Passport Officer of Madurai to re-issue the passport of a Tenkasi-based man, saying that the registration of an FIR against him cannot be a reason for not issuing his passport. Abshik Abdullah, a resident of Tenkasi, approached the court saying he was issued a passport on January 9, 2017. After the pages of his passport were exhausted, he had applied at the Madurai passport office on October 20, 2021 to re-issue his passport. ",yes
"How to solve India’s real estate crisis. The country needs sustainable economic and employment growth—jump-starting the real estate sector will serve both needs, killing two proverbial birds with one stone. Urgent action is needed, as the crisis based on oversupply of homes by overleveraged developers, and aggravated by regulatory changes and the NBFC (non-banking financial company) meltdown, has now reached menacing proportions.",yes
" At the cost of sounding negative, most of the things & services in India have a poor quality. Take things like government buildings, monuments, or services like hospitals, railways stations, roads, education, most of these things have a poor standard. However, there is a reason why these things are so poor. And the primary reason being the improper decentralization of the responsibilities and the accountabilities. In essence, the poor bureaucracy and on top of that, the pathetic political culture of this country.",yes
"Even though it is a legal crime, caste discrimination is still an open secret.  Even today, there are not a few people who claim caste on the basis of color and appearance.  Now Apple is moving away from the caste system not only of India but also of America.  Apple, the world's largest listed company, has come up with a great change as part of updating its employee behavior policy.  Discriminations such as caste, religion, gender, age and lineage do not even have access to the premises of the Apple company anymore.  Apple came up with such a decision two years ago.  But Apple's decision is now being discussed again.",no
"The Delhi government’s Directorate of Education (DoE) has once again raised the matter of poor construction work in school buildings, classrooms, besides on the sewerage work and sought a report from the Public Works Department (PWD) immediately over alleged negligence after inspecting a school located in Radhey Shyam Park, officials said. Earlier in July, 17 Delhi government schools had complained of poor construction in new classrooms, leakages, waterlogging and corruption.",yes
"Kerala Blasters and Lord's Football Academy tied with 44 in the football league. Indumati Kathire Shan was the man of the match with a hat trick for Lords. Myanmar player Win Theingi also scored a goal. P for Blasters. Malavika, Mu Scan Subba and Priyanka Devi (2 goals) scored. ",no
